EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
10007679,COOK CO., ,04/21/1973,2100,Tornado,0,F2,0,0,25000,0,IL,CST, , ,C,31, ,0,0, , ,.2,33,0, ,0, , ,04/21/1973,2100,41.85,-88.10, , ,"","",1
10007895,COOK CO., ,04/21/1973,2115,Tornado,0,F1,0,0,25000,0,IL,CST, , ,C,31, ,0,0, , ,.2,33,0, ,0, , ,04/21/1973,2115,41.87,-88.12, , ,"","",2
10007956,COOK CO., ,06/16/1973,1515,Tornado,0,F0,0,0,0,0,IL,CDT, , ,C,31, ,0,0, , ,0,33,0, ,0, , ,06/16/1973,1515,42.08,-87.88, , ,"","",3
10008417,COOK CO., ,03/04/1974,515,Thunderstorm Wind,0, ,0,0,0,0,IL,CST, , ,C,31, ,0,0, , ,0,0,0, ,0, , ,03/04/1974,515,41.90,-87.77, , ,"","",4
10009033,COOK CO., ,04/03/1974,1330,Thunderstorm Wind,0, ,0,0,0,0,IL,CST, , ,C,31, ,0,0, , ,0,0,0, ,0, , ,04/03/1974,1330,41.90,-87.77, , ,"","",5
9994710,COOK CO., ,04/03/1974,1330,Hail,1.25, ,0,0,0,0,IL,CST, , ,C,31, ,0,0, , ,0,0,0, ,0, , ,04/03/1974,1330,41.90,-87.77, , ,"","",6
10009038,COOK CO., ,04/03/1974,1400,Thunderstorm Wind,0, ,0,0,0,0,IL,CST, , ,C,31, ,0,0, , ,0,0,0, ,0, , ,04/03/1974,1400,41.58,-87.78, , ,"","",7
10009037,COOK CO., ,04/03/1974,1400,Hail,1.75, ,0,0,0,0,IL,CST, , ,C,31, ,0,0, , ,0,0,0, ,0, , ,04/03/1974,1400,41.58,-87.78, , ,"","",8
10009087,COOK CO., ,05/21/1974,1205,Hail,.75, ,0,0,0,0,IL,CST, , ,C,31, ,0,0, , ,0,0,0, ,0, , ,05/21/1974,1205,41.75,-87.80, , ,"","",9
10007997,COOK CO., ,06/20/1974,1840,Tornado,0, ,0,0,0,0,IL,CST, , ,C,31, ,0,0, , ,0,33,0, ,0, , ,06/20/1974,1840,42.07,-87.93, , ,"","",10
10008000,COOK CO., ,06/20/1974,1845,Thunderstorm Wind,50, ,0,0,0,0,IL,CST, , ,C,31, ,0,0, , ,0,0,0, ,0, , ,06/20/1974,1845,42.08,-87.82, , ,"","",11
10008001,COOK CO., ,06/20/1974,1849,Hail,.75, ,0,0,0,0,IL,CST, , ,C,31, ,0,0, , ,0,0,0, ,0, , ,06/20/1974,1849,41.87,-87.65, , ,"","",12
10009140,COOK CO., ,07/14/1974,1215,Tornado,0,F0,0,0,0,0,IL,CST, , ,C,31, ,0,0, , ,0,33,0, ,0, , ,07/14/1974,1215,41.95,-88.08, , ,"","",13
10009141,COOK CO., ,07/14/1974,1215,Thunderstorm Wind,65, ,0,0,0,0,IL,CST, , ,C,31, ,0,0, , ,0,0,0, ,0, , ,07/14/1974,1215,41.98,-87.85, , ,"","",14
10009142,COOK CO., ,07/14/1974,1220,Thunderstorm Wind,61, ,0,0,0,0,IL,CST, , ,C,31, ,0,0, , ,0,0,0, ,0, , ,07/14/1974,1220,41.88,-87.87, , ,"","",15
10009143,COOK CO., ,07/14/1974,1220,Thunderstorm Wind,0, ,0,0,0,0,IL,CST, , ,C,31, ,0,0, , ,0,0,0, ,0, , ,07/14/1974,1220,41.98,-87.90, , ,"","",16
10009144,COOK CO., ,07/14/1974,1300,Thunderstorm Wind,57, ,0,0,0,0,IL,CST, , ,C,31, ,0,0, , ,0,0,0, ,0, , ,07/14/1974,1300,41.78,-87.75, , ,"","",17
10008082,COOK CO., ,01/10/1975,2130,Thunderstorm Wind,0, ,0,0,0,0,IL,CST, , ,C,31, ,0,0, , ,0,0,0, ,0, , ,01/10/1975,2130,42.17,-87.77, , ,"","",18
10006730,COOK CO., ,05/20/1975,1455,Hail,1.75, ,0,0,0,0,IL,CST, , ,C,31, ,0,0, , ,0,0,0, ,0, , ,05/20/1975,1455,41.87,-87.85, , ,"","",19
10006735,COOK CO., ,05/20/1975,1600,Thunderstorm Wind,59, ,0,0,0,0,IL,CST, , ,C,31, ,0,0, , ,0,0,0, ,0, , ,05/20/1975,1600,41.67,-87.63, , ,"","",20
10006736,COOK CO., ,05/20/1975,1606,Hail,1.00, ,0,0,0,0,IL,CST, , ,C,31, ,0,0, , ,0,0,0, ,0, , ,05/20/1975,1606,41.80,-87.78, , ,"","",21
10006741,COOK CO., ,05/20/1975,1658,Hail,1.50, ,0,0,0,0,IL,CST, , ,C,31, ,0,0, , ,0,0,0, ,0, , ,05/20/1975,1658,41.93,-87.82, , ,"","",22
10006743,COOK CO., ,05/20/1975,1700,Thunderstorm Wind,0, ,0,0,0,0,IL,CST, , ,C,31, ,0,0, , ,0,0,0, ,0, , ,05/20/1975,1700,42.17,-87.77, , ,"","",23
10010260,COOK CO., ,06/04/1975,1745,Hail,1.50, ,0,0,0,0,IL,CST, , ,C,31, ,0,0, , ,0,0,0, ,0, , ,06/04/1975,1745,42.13,-87.83, , ,"","",24
